County,UAT,p_PARTIDUL SOCIAL DEMOCRAT,p_PARTIDUL NAȚIONAL LIBERAL,p_ALIANȚA USR PLUS,p_None,p_PARTIDUL MIȘCAREA POPULARĂ,p_PARTIDUL PRO ROMÂNIA,p_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,p_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),p_ALIANȚA PENTRU UNIREA ROMÂNILOR,p_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,p_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,p_PARTIDUL VERDE,p_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,p_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,p_PARTIDUL ROMÂNIA MARE,p_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,p_PARTIDUL PHRALIPE AL ROMILOR,cl_PARTIDUL SOCIAL DEMOCRAT,cl_PARTIDUL NAȚIONAL LIBERAL,cl_ALIANȚA USR PLUS,cl_None,cl_PARTIDUL MIȘCAREA POPULARĂ,cl_PARTIDUL PRO ROMÂNIA,cl_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,cl_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),cl_ALIANȚA PENTRU UNIREA ROMÂNILOR,cl_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,cl_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,cl_PARTIDUL VERDE,cl_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,cl_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,cl_PARTIDUL ROMÂNIA MARE,cl_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,cl_PARTIDUL PHRALIPE AL ROMILOR,cj_PARTIDUL SOCIAL DEMOCRAT,cj_PARTIDUL NAȚIONAL LIBERAL,cj_ALIANȚA USR PLUS,cj_None,cj_PARTIDUL MIȘCAREA POPULARĂ,cj_PARTIDUL PRO ROMÂNIA,cj_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,cj_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),cj_ALIANȚA PENTRU UNIREA ROMÂNILOR,cj_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,cj_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,cj_PARTIDUL VERDE,cj_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,cj_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,cj_PARTIDUL ROMÂNIA MARE,cj_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,cj_PARTIDUL PHRALIPE AL ROMILOR,pcj_PARTIDUL SOCIAL DEMOCRAT,pcj_PARTIDUL NAȚIONAL LIBERAL,pcj_ALIANȚA USR PLUS,pcj_None,pcj_PARTIDUL MIȘCAREA POPULARĂ,pcj_PARTIDUL PRO ROMÂNIA,pcj_PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,pcj_PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL),pcj_ALIANȚA PENTRU UNIREA ROMÂNILOR,pcj_PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,pcj_UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,pcj_PARTIDUL VERDE,pcj_PARTIDUL ACȚIUNEA NAȚIONALĂ ALBA,pcj_PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE,pcj_PARTIDUL ROMÂNIA MARE,pcj_PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,pcj_PARTIDUL PHRALIPE AL ROMILOR
ALBA,PIANU,101158.0,292312.0,58673.0,539314.0,23528.0,14459.0,20399.0,2825.0,13821.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,101158.0,292312.0,58673.0,540992.0,23528.0,14459.0,20399.0,2825.0,13821.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,101158.0,292312.0,58673.0,542624.0,23528.0,14459.0,20399.0,2825.0,13821.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,101509.0,293298.0,58751.0,542624.0,23564.0,14551.0,20439.0,2838.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0
ALBA,POIANA VADULUI,101759.0,293664.0,58751.0,542624.0,23564.0,14563.0,20453.0,2838.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,101759.0,293664.0,58751.0,543259.0,23564.0,14563.0,20453.0,2838.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,101759.0,293664.0,58751.0,543843.0,23564.0,14563.0,20453.0,2838.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,101959.0,293992.0,58768.0,543843.0,23585.0,14585.0,20489.0,2846.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0
ALBA,PONOR,102066.0,294358.0,58768.0,543843.0,23616.0,14585.0,20489.0,2846.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102066.0,294358.0,58768.0,544335.0,23616.0,14585.0,20489.0,2846.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102066.0,294358.0,58768.0,544817.0,23616.0,14585.0,20489.0,2846.0,13894.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102140.0,294644.0,58782.0,544817.0,23635.0,14652.0,20509.0,2848.0,13902.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0
ALBA,POŞAGA,102232.0,295061.0,58933.0,544817.0,23647.0,14652.0,20509.0,2848.0,13902.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102232.0,295061.0,58933.0,545479.0,23647.0,14652.0,20509.0,2848.0,13902.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102232.0,295061.0,58933.0,546133.0,23647.0,14652.0,20509.0,2848.0,13902.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102333.0,295453.0,59058.0,546133.0,23664.0,14660.0,20524.0,2849.0,13906.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0
ALBA,RĂDEŞTI,102399.0,296123.0,59058.0,546133.0,23670.0,14660.0,20524.0,2849.0,13906.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102399.0,296123.0,59058.0,546851.0,23670.0,14660.0,20524.0,2849.0,13906.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102399.0,296123.0,59058.0,547580.0,23670.0,14660.0,20524.0,2849.0,13906.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102482.0,296728.0,59069.0,547580.0,23680.0,14663.0,20536.0,2851.0,13921.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0
ALBA,RÂMEŢ,102767.0,296777.0,59069.0,547580.0,23691.0,14663.0,20536.0,2851.0,13921.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102767.0,296777.0,59069.0,547917.0,23691.0,14663.0,20536.0,2851.0,13921.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102767.0,296777.0,59069.0,548240.0,23691.0,14663.0,20536.0,2851.0,13921.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0,102944.0,296930.0,59072.0,548240.0,23693.0,14665.0,20538.0,2852.0,13922.0,642.0,2784.0,1686.0,3112.0,180.0,62.0,106.0,66.0
ALBA,RIMETEA,102954.0,296967.0,59072.0,548305.0,23693.0,14665.0,20538.0,2852.0,13922.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,102954.0,296967.0,59072.0,548835.0,23693.0,14665.0,20538.0,2852.0,13922.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,102954.0,296967.0,59072.0,549337.0,23693.0,14665.0,20538.0,2852.0,13922.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,103023.0,297251.0,59099.0,549337.0,23696.0,14675.0,20548.0,2857.0,13928.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0
ALBA,ROŞIA DE SECAŞ,103418.0,297468.0,59110.0,549337.0,23771.0,14749.0,20548.0,2857.0,13928.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,103418.0,297468.0,59110.0,550122.0,23771.0,14749.0,20548.0,2857.0,13928.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,103418.0,297468.0,59110.0,550863.0,23771.0,14749.0,20548.0,2857.0,13928.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,103693.0,297738.0,59123.0,550863.0,23848.0,14805.0,20557.0,2858.0,13945.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0
ALBA,ROŞIA MONTANĂ,103994.0,298301.0,59123.0,551054.0,23910.0,14881.0,20893.0,2914.0,13945.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,103994.0,298301.0,59123.0,552586.0,23910.0,14881.0,20893.0,2914.0,13945.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,103994.0,298301.0,59123.0,554089.0,23910.0,14881.0,20893.0,2914.0,13945.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,104406.0,298901.0,59190.0,554089.0,23976.0,14936.0,21146.0,2955.0,13993.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0
ALBA,SĂLCIUA,104578.0,299304.0,59249.0,554089.0,24001.0,15067.0,21146.0,2955.0,13993.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,104578.0,299304.0,59249.0,554856.0,24001.0,15067.0,21146.0,2955.0,13993.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,104578.0,299304.0,59249.0,555600.0,24001.0,15067.0,21146.0,2955.0,13993.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0,104756.0,299694.0,59318.0,555600.0,24029.0,15123.0,21170.0,2958.0,14004.0,642.0,3110.0,1686.0,3112.0,180.0,62.0,212.0,66.0
